baseline_id,target,feature_set,model,reference,reproduction_level,paper_supported_component,project_adaptation_component,claim_allowed,claim_not_allowed,status,notes,n_train,n_features,val_MAE,val_RMSE,val_R2,val_Spearman_rho,val_Pearson_r,val_log_MAE,n_val,test_MAE,test_RMSE,test_R2,test_Spearman_rho,test_Pearson_r,test_log_MAE,n_test,run_dir
F0-Mean,popularity,none,mean,common baseline,common,Common lowest-reference predictor; no specific paper reproduction claimed.,Predict train-set target mean for every validation/test sample.,Used as a lowest-reference baseline.,Do not cite this as reproducing any paper.,ok,,13321,0,17201.9416,46755.4341,-0.1347,0.0,0.0,1.9444,2918,14935.0718,38344.7483,-0.1479,0.0,0.0,1.9884,3087,.exp/baseline/results/v2_01
F0-Mean,meanScore,none,mean,common baseline,common,Common lowest-reference predictor; no specific paper reproduction claimed.,Predict train-set target mean for every validation/test sample.,Used as a lowest-reference baseline.,Do not cite this as reproducing any paper.,ok,,13321,0,10.0041,12.1774,-0.0898,0.0,0.0,,2918,10.9115,13.0139,-0.4631,0.0,0.0,,3087,.exp/baseline/results/v2_01
F0-Ridge-Meta,popularity,metadata,ridge,common baseline,common,Common linear baseline; no specific paper reproduction claimed.,Ridge regression on AniList pre-release metadata using project temporal split.,Used as a simple linear metadata baseline.,Do not cite this as reproducing Lo & Syu 2023 or another paper.,ok,,13321,151,16166.9327,67119.9135,-1.3383,0.8251,0.4855,1.0142,2918,12802.2336,42376.2757,-0.402,0.8007,0.5327,1.0551,3087,.exp/baseline/results/v2_01
F0-Ridge-Meta,meanScore,metadata,ridge,common baseline,common,Common linear baseline; no specific paper reproduction claimed.,Ridge regression on AniList pre-release metadata using project temporal split.,Used as a simple linear metadata baseline.,Do not cite this as reproducing Lo & Syu 2023 or another paper.,ok,,13321,151,8.2668,10.3329,0.2153,0.5515,0.5695,,2918,9.2029,11.4199,-0.1266,0.4913,0.5038,,3087,.exp/baseline/results/v2_01
F1-RF-Meta,popularity,metadata,random_forest,Lo & Syu 2023,adapted,Lo & Syu 2023 supports pre-broadcast entertainment metadata with classical ML and includes Random Forest.,Anime-domain regression on popularity/meanScore with AniList pre-release metadata and temporal split.,Metadata-only Random Forest baseline adapted from Lo & Syu 2023.,Do not claim exact reproduction; the original task is Japanese TV drama high/low rating classification with cross-validation.,ok,,13321,151,9151.6719,26754.0643,0.6285,0.8371,0.82,0.8721,2918,8551.7168,23013.9002,0.5865,0.842,0.7707,0.8938,3087,.exp/baseline/results/v2_01
F1-RF-Meta,meanScore,metadata,random_forest,Lo & Syu 2023,adapted,Lo & Syu 2023 supports pre-broadcast entertainment metadata with classical ML and includes Random Forest.,Anime-domain regression on popularity/meanScore with AniList pre-release metadata and temporal split.,Metadata-only Random Forest baseline adapted from Lo & Syu 2023.,Do not claim exact reproduction; the original task is Japanese TV drama high/low rating classification with cross-validation.,ok,,13321,151,7.1255,9.1374,0.3864,0.6282,0.6488,,2918,8.0179,10.1438,0.1111,0.5759,0.5875,,3087,.exp/baseline/results/v2_01
F1-GB-Meta,popularity,metadata,gradient_boosting,Lo & Syu 2023 + gradient boosting adaptation,adapted,"Lo & Syu 2023 supports the metadata-only classical ML route, but not Gradient Boosting specifically.",Stronger sklearn Gradient Boosting tabular baseline on the same AniList metadata feature set.,Gradient-boosting extension of the Lo & Syu 2023 metadata-only classical ML route.,Do not claim this model appears in Lo & Syu 2023.,ok,,13321,151,10396.3979,29895.0786,0.5361,0.8387,0.7639,0.9197,2918,9006.6811,25297.4313,0.5004,0.8303,0.7205,0.8958,3087,.exp/baseline/results/v2_01
F1-GB-Meta,meanScore,metadata,gradient_boosting,Lo & Syu 2023 + gradient boosting adaptation,adapted,"Lo & Syu 2023 supports the metadata-only classical ML route, but not Gradient Boosting specifically.",Stronger sklearn Gradient Boosting tabular baseline on the same AniList metadata feature set.,Gradient-boosting extension of the Lo & Syu 2023 metadata-only classical ML route.,Do not claim this model appears in Lo & Syu 2023.,ok,,13321,151,7.7093,9.7103,0.307,0.5923,0.6133,,2918,8.8758,11.0341,-0.0518,0.5265,0.5379,,3087,.exp/baseline/results/v2_01
F2-XGB-Concat,popularity,metadata_text_image,xgboost,Chen et al. 2019; Jeong et al. 2024,adapted,Chen et al. 2019 and Jeong et al. 2024 support visual/textual feature fusion with XGBoost-style classical regressors.,AniList metadata + project text embeddings + project image embeddings concatenated for XGBoost regression.,Feature-concat XGBoost baseline adapted from visual-textual popularity prediction literature.,"Do not claim same dataset, encoders, or exact feature extraction as the cited papers.",ok,,12729,1559,11318.1764,31390.3093,0.5302,0.8617,0.7785,0.8619,2637,9688.3006,26023.817,0.5108,0.8579,0.7254,0.9021,2808,.exp/baseline/results/v2_01
F2-XGB-Concat,meanScore,metadata_text_image,xgboost,Chen et al. 2019; Jeong et al. 2024,adapted,Chen et al. 2019 and Jeong et al. 2024 support visual/textual feature fusion with XGBoost-style classical regressors.,AniList metadata + project text embeddings + project image embeddings concatenated for XGBoost regression.,Feature-concat XGBoost baseline adapted from visual-textual popularity prediction literature.,"Do not claim same dataset, encoders, or exact feature extraction as the cited papers.",ok,,12729,1559,7.4221,9.3785,0.2907,0.5765,0.6065,,2637,8.5473,10.7021,-0.0231,0.5102,0.5279,,2808,.exp/baseline/results/v2_01
T2-XGB-TextEmb,popularity,text_embedding,xgboost,Anime synopsis traditional classifiers + text embedding adaptation,adapted,Anime synopsis-only success prediction literature supports single-modality text baselines for anime-related prediction.,Project text embeddings are used as pre-release synopsis/title representations and fed to XGBoost regression.,Text-embedding-only baseline adapted from anime synopsis-only prediction literature.,Do not claim exact reproduction of TF-IDF/classifier synopsis methods because this baseline uses project embeddings and regression targets.,ok,,12729,384,17824.1636,47440.4946,-0.073,0.6788,0.4491,1.4029,2637,15203.9965,38344.8675,-0.0621,0.6433,0.4337,1.5077,2808,.exp/baseline/results/v2_01
T2-XGB-TextEmb,meanScore,text_embedding,xgboost,Anime synopsis traditional classifiers + text embedding adaptation,adapted,Anime synopsis-only success prediction literature supports single-modality text baselines for anime-related prediction.,Project text embeddings are used as pre-release synopsis/title representations and fed to XGBoost regression.,Text-embedding-only baseline adapted from anime synopsis-only prediction literature.,Do not claim exact reproduction of TF-IDF/classifier synopsis methods because this baseline uses project embeddings and regression targets.,ok,,12729,384,9.4639,11.5696,-0.0795,0.3191,0.3259,,2637,10.6671,12.8603,-0.4773,0.2262,0.2316,,2808,.exp/baseline/results/v2_01
I1-XGB-ImageEmb,popularity,image_embedding,xgboost,"Zhou, Zhang & Yi 2019",adapted,Poster/cover CNN feature literature supports using visual embeddings as predictive signals for entertainment performance.,Project image embeddings from anime cover/banner assets are fed to XGBoost regression.,Image-embedding-only baseline adapted from poster/cover visual-feature prediction literature.,Do not claim exact reproduction of the poster CNN architecture or movie box-office setting.,ok,,13321,1024,16305.4694,44464.2205,-0.0262,0.5888,0.3371,1.585,2918,13928.1819,35857.6995,-0.0039,0.582,0.3668,1.6629,3087,.exp/baseline/results/v2_01
I1-XGB-ImageEmb,meanScore,image_embedding,xgboost,"Zhou, Zhang & Yi 2019",adapted,Poster/cover CNN feature literature supports using visual embeddings as predictive signals for entertainment performance.,Project image embeddings from anime cover/banner assets are fed to XGBoost regression.,Image-embedding-only baseline adapted from poster/cover visual-feature prediction literature.,Do not claim exact reproduction of the poster CNN architecture or movie box-office setting.,ok,,13321,1024,8.8475,11.0119,0.1088,0.3673,0.3701,,2918,9.4161,11.5892,-0.1603,0.2826,0.3001,,3087,.exp/baseline/results/v2_01
C1-Armenta-ProjectInputProxy,popularity,metadata_text_image,armenta_project_input_mlp,Armenta-Segura & Sidorov 2025,adapted,"Armenta-Segura & Sidorov 2025 supports a synopsis branch, a context branch compressed by an MLP, and a large MLP for final anime-domain prediction.",Project synopsis/text embeddings form the synopsis branch; project cover/banner image embeddings plus metadata form a project-context branch; both 768-dimensional branch outputs are concatenated and passed through an Armenta-shaped Big MLP.,Project-input Armenta-style branch-and-Big-MLP proxy for comparing whether the paper's fusion shape helps under this project's input contract.,"Do not claim Figure 2 reproduction, GPT-2/ResNet-50 reproduction, or character-branch reproduction; this row uses project embeddings and metadata rather than the paper's character descriptions and portraits.",ok,,12729,1559,12745.5503,34079.9074,0.4463,0.8412,0.7297,0.9256,2637,11672.2261,29310.7294,0.3794,0.8287,0.6243,1.0271,2808,.exp/baseline/results/v2_01_2
C1-Armenta-ProjectInputProxy,meanScore,metadata_text_image,armenta_project_input_mlp,Armenta-Segura & Sidorov 2025,adapted,"Armenta-Segura & Sidorov 2025 supports a synopsis branch, a context branch compressed by an MLP, and a large MLP for final anime-domain prediction.",Project synopsis/text embeddings form the synopsis branch; project cover/banner image embeddings plus metadata form a project-context branch; both 768-dimensional branch outputs are concatenated and passed through an Armenta-shaped Big MLP.,Project-input Armenta-style branch-and-Big-MLP proxy for comparing whether the paper's fusion shape helps under this project's input contract.,"Do not claim Figure 2 reproduction, GPT-2/ResNet-50 reproduction, or character-branch reproduction; this row uses project embeddings and metadata rather than the paper's character descriptions and portraits.",ok,,12729,1559,7.9507,10.0502,0.1854,0.5354,0.5502,,2637,9.2523,11.5823,-0.1983,0.4307,0.4425,,2808,.exp/baseline/results/v2_01_2
