model,exam,target,n,Spearman_rho,log_MAE,log_R2,factor_acc_2x,MAE,R2,acc_within_10pt,notes,RMSE,Pearson_r
CARMA-Run02,mal2025_popularity_local_ready,popularity,3765,0.4709,1.012,0.2709,0.4656,3518.3324,,,existing external inference artifact,,
CARMA-Run02,mal2025_dual_local_ready,popularity,1202,0.5495,1.391,-0.461,0.3344,7750.9359,,,existing external inference artifact,,
CARMA-Run02,mal2025_dual_local_ready,meanScore,1202,0.6079,,,,7.5086,-1.0659,0.7488,existing external inference artifact,,
F1-RF-Meta,mal2025_popularity_local_ready,popularity,3765,0.2971,1.2148,0.1068,0.3503,3690.2606,0.032,,"{""feature_dims"": {""metadata"": 151}, ""zero_fallback"": {}}",17228.118,0.277
F2-XGB-Concat-CARMAInput,mal2025_popularity_local_ready,popularity,3765,0.4298,1.144,0.2255,0.341,3592.534,-0.0113,,"{""feature_dims"": {""image"": 3072, ""metadata"": 151, ""text"": 768}, ""zero_fallback"": {""image_eval_rows"": 0, ""image_train_rows"": 0, ""text_eval_rows"": 0, ""text_train_rows"": 592}}",17609.1134,0.3943
C3-RAG-XGB-CARMAInput,mal2025_popularity_local_ready,popularity,3765,0.3153,1.1689,0.1806,0.3588,3598.6527,0.0045,,"{""feature_dims"": {""image"": 3072, ""metadata"": 151, ""rag"": 84, ""text"": 768}, ""zero_fallback"": {""image_eval_rows"": 0, ""image_train_rows"": 0, ""text_eval_rows"": 0, ""text_train_rows"": 592}}",17471.0079,0.3996
F1-RF-Meta,mal2025_dual_local_ready,popularity,1202,0.626,1.0134,0.2058,0.4567,7320.3447,0.0059,,"{""feature_dims"": {""metadata"": 151}, ""zero_fallback"": {}}",26597.0695,0.4079
F1-RF-Meta,mal2025_dual_local_ready,meanScore,1202,0.6339,,,,6.6473,-0.3838,0.787,"{""feature_dims"": {""metadata"": 151}, ""zero_fallback"": {}}",8.1416,0.6268
F2-XGB-Concat-CARMAInput,mal2025_dual_local_ready,popularity,1202,0.6395,1.0714,-0.0225,0.5033,7682.1818,-0.0615,,"{""feature_dims"": {""image"": 3072, ""metadata"": 151, ""text"": 768}, ""zero_fallback"": {""image_eval_rows"": 0, ""image_train_rows"": 0, ""text_eval_rows"": 0, ""text_train_rows"": 592}}",27484.1307,0.4457
F2-XGB-Concat-CARMAInput,mal2025_dual_local_ready,meanScore,1202,0.6565,,,,6.7287,-0.4132,0.7696,"{""feature_dims"": {""image"": 3072, ""metadata"": 151, ""text"": 768}, ""zero_fallback"": {""image_eval_rows"": 0, ""image_train_rows"": 0, ""text_eval_rows"": 0, ""text_train_rows"": 592}}",8.2276,0.6378
C3-RAG-XGB-CARMAInput,mal2025_dual_local_ready,popularity,1202,0.5966,1.0706,0.0256,0.4742,7575.4847,-0.043,,"{""feature_dims"": {""image"": 3072, ""metadata"": 151, ""rag"": 84, ""text"": 768}, ""zero_fallback"": {""image_eval_rows"": 0, ""image_train_rows"": 0, ""text_eval_rows"": 0, ""text_train_rows"": 592}}",27243.1494,0.4552
C3-RAG-XGB-CARMAInput,mal2025_dual_local_ready,meanScore,1202,0.6295,,,,6.5991,-0.3957,0.7887,"{""feature_dims"": {""image"": 3072, ""metadata"": 151, ""rag"": 84, ""text"": 768}, ""zero_fallback"": {""image_eval_rows"": 0, ""image_train_rows"": 0, ""text_eval_rows"": 0, ""text_train_rows"": 592}}",8.1763,0.5965
