model,split,target,n,MAE,Spearman_rho,log_MAE,log_R2,factor_acc_2x,R2,acc_within_10pt,diagnostics,RMSE,Pearson_r
F1-RF-Meta-CARMATensor,test,popularity,3087,9728.6471,0.8326,0.9731,0.7105,0.4655,0.5181,,resumed from existing CARMA tensor prediction file,24842.9763,0.7289
F1-RF-Meta-CARMATensor,test,meanScore,3087,8.8547,0.5171,,,,-0.0438,0.6281,resumed from existing CARMA tensor prediction file,10.9923,0.5304
F2-XGB-Concat-CARMATensor,test,popularity,3087,8872.964,0.8578,0.8799,0.7667,0.4885,0.6032,,resumed from existing CARMA tensor prediction file,22544.7156,0.7884
F2-XGB-Concat-CARMATensor,test,meanScore,3087,8.6542,0.5591,,,,0.0142,0.645,resumed from existing CARMA tensor prediction file,10.6823,0.5732
C1-Armenta-CARMATensor,test,popularity,3087,9439.9711,0.852,0.921,0.7481,0.4704,0.4949,,resumed from existing CARMA tensor prediction file,25433.96,0.7077
C1-Armenta-CARMATensor,test,meanScore,3087,8.184,0.5215,,,,0.0711,0.6728,resumed from existing CARMA tensor prediction file,10.3697,0.539
C2-CrossAttention-CARMATensor,test,popularity,3087,9903.4374,0.8537,0.9115,0.7524,0.4739,0.5174,,resumed from existing CARMA tensor prediction file,24861.2014,0.7789
C2-CrossAttention-CARMATensor,test,meanScore,3087,8.4217,0.5354,,,,0.0286,0.6673,resumed from existing CARMA tensor prediction file,10.6043,0.5476
C2-RecurrentFusion-CARMATensor,test,popularity,3087,9056.828,0.8614,0.8915,0.7593,0.4817,0.5829,,resumed from existing CARMA tensor prediction file,23113.3431,0.7644
C2-RecurrentFusion-CARMATensor,test,meanScore,3087,9.2659,0.5294,,,,-0.1395,0.6132,resumed from existing CARMA tensor prediction file,11.4848,0.5434
C3-RAG-XGB-CARMATensor,test,popularity,3087,9032.5883,0.852,0.8947,0.7574,0.4917,0.5908,,resumed from existing CARMA tensor prediction file,22894.8317,0.7818
C3-RAG-XGB-CARMATensor,test,meanScore,3087,8.7747,0.5432,,,,-0.0107,0.6323,resumed from existing CARMA tensor prediction file,10.8166,0.556
CARMA-Run02,mal2025_popularity_local_ready,popularity,3765,3518.3324,0.4709,1.012,0.2709,0.4656,,,existing CARMA Run02 external inference artifact,,
CARMA-Run02,mal2025_dual_local_ready,popularity,1202,7750.9359,0.5495,1.391,-0.461,0.3344,,,existing CARMA Run02 external inference artifact,,
CARMA-Run02,mal2025_dual_local_ready,meanScore,1202,7.5086,0.6079,,,,-1.0659,0.7488,existing CARMA Run02 external inference artifact,,
CARMA-Run22,mal2025_popularity_local_ready,popularity,3765,3588.0588,0.4998,1.0359,0.2979,0.4234,,,existing CARMA Run22 external inference artifact,,
CARMA-Run22,mal2025_dual_local_ready,popularity,1202,7732.8303,0.5647,1.1707,-0.1188,0.426,,,existing CARMA Run22 external inference artifact,,
CARMA-Run22,mal2025_dual_local_ready,meanScore,1202,6.3363,0.577,,,,-0.3253,0.7945,existing CARMA Run22 external inference artifact,,
CARMA-Run22,mal2025_popularity_local_ready_yolo,popularity,3765,3587.3239,0.5213,1.0143,0.3173,0.4356,,,existing CARMA Run22 external inference artifact,,
CARMA-Run22,mal2025_dual_local_ready_yolo,popularity,1202,7796.8436,0.6073,1.2001,-0.1613,0.406,,,existing CARMA Run22 external inference artifact,,
CARMA-Run22,mal2025_dual_local_ready_yolo,meanScore,1202,6.4919,0.5999,,,,-0.3573,0.7829,existing CARMA Run22 external inference artifact,,
F1-RF-Meta-CARMATensor,mal2025_popularity_local_ready,popularity,3765,3558.3021,0.4572,1.0015,0.2572,0.4776,-0.0258,,resumed from existing CARMA tensor prediction file,17734.958,0.2967
F1-RF-Meta-CARMATensor,mal2025_dual_local_ready,popularity,1202,7916.6163,0.5144,1.4387,-0.603,0.3236,-0.0794,,resumed from existing CARMA tensor prediction file,27714.3784,0.2278
