baseline_id,target,common_subset,subset_rule,n_test,role,main_table_role,reproduction_level,claim_allowed,Spearman_rho,log_MAE,log_R2,factor_acc_2x,MAE,R2,acc_within_10pt,RMSE,Pearson_r,run_dir
F1-RF-Meta,popularity,True,"metadata ∩ project_text_embedding ∩ project_image_embedding; RAG rows additionally require RAG parquet, which is full-cover here",2808,metadata-only strong baseline,common-subset reference,adapted,Metadata-only strong baseline; not a literature reproduction.,0.8507,0.8923,0.7602,0.49,9334.9103,0.5798,,24118.0663,0.7668,.exp/baseline/results/v2_01/predictions/F1-RF-Meta
F2-XGB-Concat,popularity,True,"metadata ∩ project_text_embedding ∩ project_image_embedding; RAG rows additionally require RAG parquet, which is full-cover here",2808,simple multimodal fusion,main,adapted,Simple metadata + text + image early-fusion baseline.,0.865,0.8828,0.776,0.4708,9539.7047,0.5515,,24917.8974,0.7544,.exp/baseline/results/v2_highres_01_2/predictions/F2-XGB-Concat
C1-Armenta-ProjectInputProxy,popularity,True,"metadata ∩ project_text_embedding ∩ project_image_embedding; RAG rows additionally require RAG parquet, which is full-cover here",2808,C1 anime multimodal MLP adapted reference,main,project-input proxy,Literature-adapted anime multimodal MLP reference on project inputs; not exact reproduction.,0.8418,0.9538,0.731,0.4626,11095.5952,0.4332,,28013.2702,0.6637,.exp/baseline/results/v2_highres_01_3/predictions/C1-Armenta-ProjectInputProxy
C2-ProjectInputCrossAttention,popularity,True,"metadata ∩ project_text_embedding ∩ project_image_embedding; RAG rows additionally require RAG parquet, which is full-cover here",2808,C2 cross-modal attention adapted reference,secondary-main,project-input proxy,C2-inspired cross-modal attention reference on project inputs; not exact reproduction.,0.8647,0.9236,0.7525,0.4601,11193.8393,0.4478,,27649.9095,0.6897,.exp/baseline/results/v2_highres_01_5/predictions/C2-ProjectInputCrossAttention
C2-ProjectInputRecurrentFusion,popularity,True,"metadata ∩ project_text_embedding ∩ project_image_embedding; RAG rows additionally require RAG parquet, which is full-cover here",2808,C2 recurrent fusion adapted reference,primary-main,project-input proxy,Primary C2 adapted row because it retains cross-modal attention plus recurrent fusion idea; not exact reproduction.,0.8673,0.9151,0.7607,0.4605,10469.808,0.4748,,26964.748,0.6921,.exp/baseline/results/v2_highres_01_6/predictions/C2-ProjectInputRecurrentFusion
C3-RAG-Selective-XGB,popularity,True,"metadata ∩ project_text_embedding ∩ project_image_embedding; RAG rows additionally require RAG parquet, which is full-cover here",2808,C3 selective RAG strategy baseline,main,literature-inspired,Selective retrieval strategy baseline for Exp1 reference family; not proposed-framework Exp2 ablation.,0.8719,0.9266,0.7537,0.4665,9256.1195,0.6182,,22990.5556,0.7874,.exp/baseline/results/v2_highres_01_11/predictions/C3-RAG-Selective-XGB
C3-ProjectInputSKAPPProxy-XGB,popularity,True,"metadata ∩ project_text_embedding ∩ project_image_embedding; RAG rows additionally require RAG parquet, which is full-cover here",2808,C3 SKAPP proxy performance reference,main,project-input proxy,SKAPP-inspired retrieved aggregate proxy on project inputs; not source-exact SKAPP reproduction.,0.8633,0.9363,0.7521,0.4548,10075.2543,0.543,,25153.185,0.7393,.exp/baseline/results/v2_highres_01_12/predictions/C3-ProjectInputSKAPPProxy-XGB
F1-RF-Meta,meanScore,True,"metadata ∩ project_text_embedding ∩ project_image_embedding; RAG rows additionally require RAG parquet, which is full-cover here",2808,metadata-only strong baseline,common-subset reference,adapted,Metadata-only strong baseline; not a literature reproduction.,0.5634,,,,8.0085,0.0791,0.6756,10.1537,0.5802,.exp/baseline/results/v2_01/predictions/F1-RF-Meta
F2-XGB-Concat,meanScore,True,"metadata ∩ project_text_embedding ∩ project_image_embedding; RAG rows additionally require RAG parquet, which is full-cover here",2808,simple multimodal fusion,main,adapted,Simple metadata + text + image early-fusion baseline.,0.553,,,,8.2031,0.0562,0.6556,10.279,0.571,.exp/baseline/results/v2_highres_01_2/predictions/F2-XGB-Concat
C1-Armenta-ProjectInputProxy,meanScore,True,"metadata ∩ project_text_embedding ∩ project_image_embedding; RAG rows additionally require RAG parquet, which is full-cover here",2808,C1 anime multimodal MLP adapted reference,main,project-input proxy,Literature-adapted anime multimodal MLP reference on project inputs; not exact reproduction.,0.4808,,,,8.4901,-0.0187,0.6503,10.679,0.4975,.exp/baseline/results/v2_highres_01_3/predictions/C1-Armenta-ProjectInputProxy
C2-ProjectInputCrossAttention,meanScore,True,"metadata ∩ project_text_embedding ∩ project_image_embedding; RAG rows additionally require RAG parquet, which is full-cover here",2808,C2 cross-modal attention adapted reference,secondary-main,project-input proxy,C2-inspired cross-modal attention reference on project inputs; not exact reproduction.,0.5044,,,,8.063,0.0586,0.6863,10.2662,0.5254,.exp/baseline/results/v2_highres_01_5/predictions/C2-ProjectInputCrossAttention
C2-ProjectInputRecurrentFusion,meanScore,True,"metadata ∩ project_text_embedding ∩ project_image_embedding; RAG rows additionally require RAG parquet, which is full-cover here",2808,C2 recurrent fusion adapted reference,primary-main,project-input proxy,Primary C2 adapted row because it retains cross-modal attention plus recurrent fusion idea; not exact reproduction.,0.4895,,,,8.3908,0.0037,0.672,10.5612,0.5107,.exp/baseline/results/v2_highres_01_6/predictions/C2-ProjectInputRecurrentFusion
C3-RAG-Selective-XGB,meanScore,True,"metadata ∩ project_text_embedding ∩ project_image_embedding; RAG rows additionally require RAG parquet, which is full-cover here",2808,C3 selective RAG strategy baseline,main,literature-inspired,Selective retrieval strategy baseline for Exp1 reference family; not proposed-framework Exp2 ablation.,0.5561,,,,8.0901,0.0884,0.6667,10.1024,0.5742,.exp/baseline/results/v2_highres_01_11/predictions/C3-RAG-Selective-XGB
