baseline_id,target,feature_set,model,reference,reproduction_level,paper_supported_component,project_adaptation_component,claim_allowed,claim_not_allowed,status,notes,n_train,n_features,val_MAE,val_RMSE,val_R2,val_Spearman_rho,val_Pearson_r,val_log_MAE,n_val,test_MAE,test_RMSE,test_R2,test_Spearman_rho,test_Pearson_r,test_log_MAE,n_test,run_dir
I1-XGB-ImageEmb,popularity,image_embedding,xgboost,"Zhou, Zhang & Yi 2019",adapted,Poster/cover CNN feature literature supports using visual embeddings as predictive signals for entertainment performance.,Project image embeddings from anime cover/banner assets are fed to XGBoost regression.,Image-embedding-only baseline adapted from poster/cover visual-feature prediction literature.,Do not claim exact reproduction of the poster CNN architecture or movie box-office setting.,ok,,13321,3075,15022.8227,40236.9194,0.1597,0.7226,0.5142,1.3568,2918,12100.8365,31817.5965,0.2096,0.7257,0.5338,1.359,3087,.exp/baseline/results/v2_highres_01
I1-XGB-ImageEmb,meanScore,image_embedding,xgboost,"Zhou, Zhang & Yi 2019",adapted,Poster/cover CNN feature literature supports using visual embeddings as predictive signals for entertainment performance.,Project image embeddings from anime cover/banner assets are fed to XGBoost regression.,Image-embedding-only baseline adapted from poster/cover visual-feature prediction literature.,Do not claim exact reproduction of the poster CNN architecture or movie box-office setting.,ok,,13321,3075,8.2825,10.4124,0.2032,0.4627,0.4741,,2918,8.6345,10.8141,-0.0103,0.418,0.4335,,3087,.exp/baseline/results/v2_highres_01
F2-XGB-Concat,popularity,metadata_text_image,xgboost,Chen et al. 2019; Jeong et al. 2024,adapted,Chen et al. 2019 and Jeong et al. 2024 support visual/textual feature fusion with XGBoost-style classical regressors.,AniList metadata + project text embeddings + project image embeddings concatenated for XGBoost regression.,Feature-concat XGBoost baseline adapted from visual-textual popularity prediction literature.,"Do not claim same dataset, encoders, or exact feature extraction as the cited papers.",ok,,12729,3994,11147.3749,30782.2972,0.5482,0.8753,0.8214,0.8304,2637,9539.7047,24917.8974,0.5515,0.865,0.7544,0.8828,2808,.exp/baseline/results/v2_highres_01_2
F2-XGB-Concat,meanScore,metadata_text_image,xgboost,Chen et al. 2019; Jeong et al. 2024,adapted,Chen et al. 2019 and Jeong et al. 2024 support visual/textual feature fusion with XGBoost-style classical regressors.,AniList metadata + project text embeddings + project image embeddings concatenated for XGBoost regression.,Feature-concat XGBoost baseline adapted from visual-textual popularity prediction literature.,"Do not claim same dataset, encoders, or exact feature extraction as the cited papers.",ok,,12729,3994,7.1414,9.013,0.3449,0.6086,0.6317,,2637,8.2031,10.279,0.0562,0.553,0.571,,2808,.exp/baseline/results/v2_highres_01_2
C1-Armenta-ProjectInputProxy,popularity,metadata_text_image,armenta_project_input_mlp,Armenta-Segura & Sidorov 2025,adapted,"Armenta-Segura & Sidorov 2025 supports a synopsis branch, a context branch compressed by an MLP, and a large MLP for final anime-domain prediction.",Project synopsis/text embeddings form the synopsis branch; project cover/banner image embeddings plus metadata form a project-context branch; both 768-dimensional branch outputs are concatenated and passed through an Armenta-shaped Big MLP.,Project-input Armenta-style branch-and-Big-MLP proxy for comparing whether the paper's fusion shape helps under this project's input contract.,"Do not claim Figure 2 reproduction, GPT-2/ResNet-50 reproduction, or character-branch reproduction; this row uses project embeddings and metadata rather than the paper's character descriptions and portraits.",ok,,12729,3994,12484.0743,33337.8552,0.4701,0.8495,0.7307,0.9053,2637,11095.5952,28013.2702,0.4332,0.8418,0.6637,0.9538,2808,.exp/baseline/results/v2_highres_01_3
C1-Armenta-ProjectInputProxy,meanScore,metadata_text_image,armenta_project_input_mlp,Armenta-Segura & Sidorov 2025,adapted,"Armenta-Segura & Sidorov 2025 supports a synopsis branch, a context branch compressed by an MLP, and a large MLP for final anime-domain prediction.",Project synopsis/text embeddings form the synopsis branch; project cover/banner image embeddings plus metadata form a project-context branch; both 768-dimensional branch outputs are concatenated and passed through an Armenta-shaped Big MLP.,Project-input Armenta-style branch-and-Big-MLP proxy for comparing whether the paper's fusion shape helps under this project's input contract.,"Do not claim Figure 2 reproduction, GPT-2/ResNet-50 reproduction, or character-branch reproduction; this row uses project embeddings and metadata rather than the paper's character descriptions and portraits.",ok,,12729,3994,7.3906,9.4846,0.2746,0.5469,0.5658,,2637,8.4901,10.679,-0.0187,0.4808,0.4975,,2808,.exp/baseline/results/v2_highres_01_3
C2-CTNN-Lite,popularity,text_image,cross_modal_transformer,"Madongo, Tang & Hassan 2023",adapted,Madongo et al. 2023 supports poster/review cross-modal attention transformer fusion for entertainment outcome prediction.,Project text and image embeddings are projected into two modality tokens and fused with a lightweight TransformerEncoder regression head; this omits the paper's full CTNN/recurrent-fusion design.,Lightweight cross-modal transformer fusion baseline adapted from poster-text box-office prediction literature.,"Do not claim exact CTNN reproduction; this implementation uses precomputed project embeddings, a simplified two-token transformer fusion head, and anime regression targets.",ok,,12729,3843,14827.58,36356.5476,0.3698,0.8206,0.616,1.0415,2637,13383.7815,30991.1308,0.3062,0.8176,0.6002,1.1052,2808,.exp/baseline/results/v2_highres_01_4
C2-CTNN-Lite,meanScore,text_image,cross_modal_transformer,"Madongo, Tang & Hassan 2023",adapted,Madongo et al. 2023 supports poster/review cross-modal attention transformer fusion for entertainment outcome prediction.,Project text and image embeddings are projected into two modality tokens and fused with a lightweight TransformerEncoder regression head; this omits the paper's full CTNN/recurrent-fusion design.,Lightweight cross-modal transformer fusion baseline adapted from poster-text box-office prediction literature.,"Do not claim exact CTNN reproduction; this implementation uses precomputed project embeddings, a simplified two-token transformer fusion head, and anime regression targets.",ok,,12729,3843,7.7144,9.9052,0.2088,0.4923,0.5117,,2637,8.5829,10.7676,-0.0356,0.4259,0.4453,,2808,.exp/baseline/results/v2_highres_01_4
C2-ProjectInputCrossAttention,popularity,metadata_text_image,project_input_cross_attention,"Madongo, Tang & Hassan 2023",adapted,Madongo et al. 2023 supports cross-modal attention transformer fusion with auxiliary metadata-related factors for box-office prediction.,"Project synopsis/text and cover/banner image embeddings are fused through explicit bidirectional text-image cross-attention blocks, then metadata conditions the final modality-gated fusion.",Project-input CTNN-style cross-attention proxy that keeps this project's metadata/text/image input contract while moving closer to the paper's cross-modal attention motivation.,"Do not claim exact CTNN reproduction; this implementation uses anime project embeddings, metadata-conditioned gating, and regression targets instead of the paper's movie review/poster pipeline and box-office class setup.",ok,,12729,3994,11591.4363,30759.3668,0.5489,0.872,0.7654,0.8405,2637,11193.8393,27649.9095,0.4478,0.8647,0.6897,0.9236,2808,.exp/baseline/results/v2_highres_01_5
C2-ProjectInputCrossAttention,meanScore,metadata_text_image,project_input_cross_attention,"Madongo, Tang & Hassan 2023",adapted,Madongo et al. 2023 supports cross-modal attention transformer fusion with auxiliary metadata-related factors for box-office prediction.,"Project synopsis/text and cover/banner image embeddings are fused through explicit bidirectional text-image cross-attention blocks, then metadata conditions the final modality-gated fusion.",Project-input CTNN-style cross-attention proxy that keeps this project's metadata/text/image input contract while moving closer to the paper's cross-modal attention motivation.,"Do not claim exact CTNN reproduction; this implementation uses anime project embeddings, metadata-conditioned gating, and regression targets instead of the paper's movie review/poster pipeline and box-office class setup.",ok,,12729,3994,6.8935,8.9147,0.3591,0.606,0.6284,,2637,8.063,10.2662,0.0586,0.5044,0.5254,,2808,.exp/baseline/results/v2_highres_01_5
