baseline_id,target,policy,model,feature_set,n_train,n_features,diagnostics,val_MAE,val_RMSE,val_R2,val_Spearman_rho,val_Pearson_r,val_log_MAE,val_log_R2,val_factor_acc_2x,n_val,test_MAE,test_RMSE,test_R2,test_Spearman_rho,test_Pearson_r,test_log_MAE,test_log_R2,test_factor_acc_2x,n_test,val_acc_within_10pt,test_acc_within_10pt
F1-RF-Meta,popularity,strict_common,random_forest,metadata,13321,151,"{""n_by_split"": {""test"": 3087, ""train"": 13321, ""val"": 2918}, ""n_features"": 151, ""policy"": ""strict_common"", ""zero_filled_embeddings"": {}}",9149.6409,26727.4801,0.6292,0.8375,0.8203,0.8716,0.758,0.5024,2918,8547.4661,22982.7556,0.5876,0.842,0.7713,0.8938,0.7553,0.4895,3087,,
F1-RF-Meta,meanScore,strict_common,random_forest,metadata,13321,151,"{""n_by_split"": {""test"": 3087, ""train"": 13321, ""val"": 2918}, ""n_features"": 151, ""policy"": ""strict_common"", ""zero_filled_embeddings"": {}}",7.1217,9.1291,0.3875,0.6288,0.6495,,,,2918,8.004,10.1271,0.114,0.5776,0.5891,,,,3087,0.7419,0.6783
F2-XGB-Concat,popularity,strict_common,xgboost,metadata_text_image,12729,1559,"{""n_by_split"": {""test"": 2808, ""train"": 12729, ""val"": 2637}, ""n_features"": 1559, ""policy"": ""strict_common"", ""zero_filled_embeddings"": {""image_embedding"": {""test"": 0, ""train"": 0, ""val"": 0}, ""text_embedding"": {""test"": 0, ""train"": 0, ""val"": 0}}}",11318.1764,31390.3092,0.5302,0.8617,0.7785,0.8619,0.768,0.5009,2637,9688.3006,26023.817,0.5108,0.8579,0.7254,0.9021,0.762,0.4772,2808,,
F2-XGB-Concat,meanScore,strict_common,xgboost,metadata_text_image,12729,1559,"{""n_by_split"": {""test"": 2808, ""train"": 12729, ""val"": 2637}, ""n_features"": 1559, ""policy"": ""strict_common"", ""zero_filled_embeddings"": {""image_embedding"": {""test"": 0, ""train"": 0, ""val"": 0}, ""text_embedding"": {""test"": 0, ""train"": 0, ""val"": 0}}}",7.4221,9.3785,0.2907,0.5765,0.6065,,,,2637,8.5473,10.7021,-0.0231,0.5102,0.5279,,,,2808,0.7198,0.6375
C3-RAG-Selective-XGB,popularity,strict_common,xgboost,metadata_text_image_rag_selective,12729,1643,"{""n_by_split"": {""test"": 2808, ""train"": 12729, ""val"": 2637}, ""n_features"": 1643, ""policy"": ""strict_common"", ""zero_filled_embeddings"": {""image_embedding"": {""test"": 0, ""train"": 0, ""val"": 0}, ""text_embedding"": {""test"": 0, ""train"": 0, ""val"": 0}}}",9710.4706,26378.4512,0.6683,0.8896,0.8276,0.7924,0.8036,0.5309,2637,9517.0999,24005.0737,0.5838,0.8727,0.7702,0.9399,0.7453,0.4594,2808,,
C3-RAG-Selective-XGB,meanScore,strict_common,xgboost,metadata_text_image_rag_selective,12729,1643,"{""n_by_split"": {""test"": 2808, ""train"": 12729, ""val"": 2637}, ""n_features"": 1643, ""policy"": ""strict_common"", ""zero_filled_embeddings"": {""image_embedding"": {""test"": 0, ""train"": 0, ""val"": 0}, ""text_embedding"": {""test"": 0, ""train"": 0, ""val"": 0}}}",6.864,8.7194,0.3869,0.6342,0.6547,,,,2637,8.3048,10.3529,0.0426,0.5243,0.5422,,,,2808,0.7565,0.656
F1-RF-Meta,popularity,zero_fallback_full,random_forest,metadata,13321,151,"{""n_by_split"": {""test"": 3087, ""train"": 13321, ""val"": 2918}, ""n_features"": 151, ""policy"": ""zero_fallback_full"", ""zero_filled_embeddings"": {}}",9149.6409,26727.4801,0.6292,0.8375,0.8203,0.8716,0.758,0.5024,2918,8547.4661,22982.7556,0.5876,0.842,0.7713,0.8938,0.7553,0.4895,3087,,
F1-RF-Meta,meanScore,zero_fallback_full,random_forest,metadata,13321,151,"{""n_by_split"": {""test"": 3087, ""train"": 13321, ""val"": 2918}, ""n_features"": 151, ""policy"": ""zero_fallback_full"", ""zero_filled_embeddings"": {}}",7.1217,9.1291,0.3875,0.6288,0.6495,,,,2918,8.004,10.1271,0.114,0.5776,0.5891,,,,3087,0.7419,0.6783
F2-XGB-Concat,popularity,zero_fallback_full,xgboost,metadata_text_image,13321,1559,"{""n_by_split"": {""test"": 3087, ""train"": 13321, ""val"": 2918}, ""n_features"": 1559, ""policy"": ""zero_fallback_full"", ""zero_filled_embeddings"": {""image_embedding"": {""test"": 0, ""train"": 0, ""val"": 0}, ""text_embedding"": {""test"": 0, ""train"": 0, ""val"": 0}}}",10211.755,29734.0133,0.5411,0.8666,0.778,0.843,0.7839,0.4979,2918,8803.0876,24701.0862,0.5236,0.8465,0.7316,0.8807,0.7689,0.4862,3087,,
F2-XGB-Concat,meanScore,zero_fallback_full,xgboost,metadata_text_image,13321,1559,"{""n_by_split"": {""test"": 3087, ""train"": 13321, ""val"": 2918}, ""n_features"": 1559, ""policy"": ""zero_fallback_full"", ""zero_filled_embeddings"": {""image_embedding"": {""test"": 0, ""train"": 0, ""val"": 0}, ""text_embedding"": {""test"": 0, ""train"": 0, ""val"": 0}}}",7.5329,9.4961,0.3373,0.6089,0.6323,,,,2918,8.6076,10.7125,0.0086,0.5453,0.5545,,,,3087,0.7114,0.6339
C3-RAG-Selective-XGB,popularity,zero_fallback_full,xgboost,metadata_text_image_rag_selective,13321,1643,"{""n_by_split"": {""test"": 3087, ""train"": 13321, ""val"": 2918}, ""n_features"": 1643, ""policy"": ""zero_fallback_full"", ""zero_filled_embeddings"": {""image_embedding"": {""test"": 0, ""train"": 0, ""val"": 0}, ""text_embedding"": {""test"": 0, ""train"": 0, ""val"": 0}}}",8692.0182,24517.0786,0.688,0.8891,0.838,0.7845,0.8125,0.5322,2918,8802.8698,23152.771,0.5815,0.8605,0.7753,0.9226,0.7515,0.4697,3087,,
C3-RAG-Selective-XGB,meanScore,zero_fallback_full,xgboost,metadata_text_image_rag_selective,13321,1643,"{""n_by_split"": {""test"": 3087, ""train"": 13321, ""val"": 2918}, ""n_features"": 1643, ""policy"": ""zero_fallback_full"", ""zero_filled_embeddings"": {""image_embedding"": {""test"": 0, ""train"": 0, ""val"": 0}, ""text_embedding"": {""test"": 0, ""train"": 0, ""val"": 0}}}",7.0685,8.9477,0.4116,0.6514,0.6679,,,,2918,8.5021,10.5271,0.0427,0.5405,0.5524,,,,3087,0.7433,0.6417
